行け。 	 Go.
考えすぎだよ。 	 You're reading too much into things.
俺たちを助けられるのはおまえだけなんだよ。 	 You're the only one who can help us.
あなた、恋愛したこと、ないんでしょ。 	 You've never been in love, have you?
あなたは本当のダイヤモンドを見たことがないのです。 	 You've never seen a genuine diamond.
あなたのアドバイスにはいつも助けられています。 	 Your advice is always helpful to me.
あなたの書く字は私に似ている。 	 Your handwriting is similar to mine.
給料は歩合制です。 	 Your salary is based on commissions.
４２１９だなんて、随分と語呂が悪い番号だな。 	 4,219 is an extremely unlucky number.
「彼は音楽が好きですか」「はい、好きです」 	 Does he like music? "Yes, he does."
「おいしい？」「うん、おいしい」 	 Does it taste good? "Yes, it does."
「どうしたらいいだろう？」と私は独り言を言った。 	 What should I do? I said to myself.
「どうした？」「鍵がない」 	 What's wrong? "I don't have a key."
「なんで怒ってるの？」 「怒ってないってば」 	 Why are you angry? "I'm not angry!"
１ドルは１００セントに等しい。 	 A dollar is equal to a hundred cents.
一キロ先に、ガソリンスタンドがあります。 	 A gas station is one kilometer ahead.
１人の少女が昨日池で溺れ死んだ。 	 A girl drowned in the pond yesterday.
良い考えがちょうど私の心に浮かんだ。 	 A good idea occurred to me just then.
以前恐ろしい怪物が住んでいた。 	 A hideous monster used to live there.
主婦は家庭の仕事がたくさんある。 	 A housewife has many domestic duties.
１マイルは約１６００メートルにあたる。 	 A mile is equal to about 1600 meters.
子犬がしっぽをふってついてきた。 	 A puppy followed me wagging its tail.
１チームは１１人の選手で構成されている。 	 A team is composed of eleven players.
１台のトラックが道路を疾走していた。 	 A truck was careering along the road.
幼い子供は語いが少ない。 	 A young child has a small vocabulary.
突然犬が吠え出した。 	 All of a sudden, a dog began barking.
私が知っている大部分の人が自転車を持っています。 	 Almost everyone I know has a bicycle.
トムは裕福であるにもかかわらず幸福ではない。 	 Although Tom is rich, he's not happy.
一日一個の林檎で医者いらず。 	 An apple a day keeps the doctor away.
１日１個のりんごは医者を遠ざける。 	 An apple a day keeps the doctor away.
地震はいつでも起こる可能性がある。 	 An earthquake can happen at any time.
どんな生徒でもその質問に答えられる。 	 Any student can answer that question.
トムとメアリーはパーティーに来るの？ 	 Are Tom and Mary coming to the party?
この辺で、どっかいいショッピングモールってないかな？ 	 Are there any good malls around here?
その庭園には沢山花がありますか？ 	 Are there many flowers in the garden?
あなたは犬派？それとも猫派？ 	 Are you a dog person or a cat person?
式には出席するつもりですか。 	 Are you going to attend the ceremony?
夕食は家で食べるの？ 	 Are you going to have dinner at home?
一日中ベッドの中にいるつもり？ 	 Are you going to stay in bed all day?
日本の音楽には興味がありますか。 	 Are you interested in Japanese music?
日本の音楽に興味がおありですか？ 	 Are you interested in Japanese music?
本当にそれ全部食べるつもり？ 	 Are you really going to eat all that?
私のせいってこと？ 	 Are you saying that this is my fault?
まだ宝くじ買ってるの？ 	 Are you still buying lottery tickets?
本当にトムは今オーストラリアにいるの？ 	 Are you sure Tom is in Australia now?
本当に全員がもう出発しちゃったの？ 	 Are you sure everyone's already left?
本当にトムはそれをやらなかったの？ 	 Are you sure that Tom didn't do that?
この列車に間違いないですか。 	 Are you sure this is the right train?
本当に車を運転したくないの？ 	 Are you sure you don't want to drive?
トムの欲しいもの、本当に知ってるの？ 	 Are you sure you know what Tom wants?
本当に全て覚えてるの？ 	 Are you sure you remember everything?
何か他にお薬を服用していますか？ 	 Are you taking any other medications?
もしかして、私のこと怖がってる？ 	 Are you, by any chance, scared of me?
向こうの交番で聞いてください。 	 Ask at the police station over there.
かつてはここに橋があった。 	 At one time, there was a bridge here.
その時は、まだ寝付いてなかったよ。 	 At that time, I was still not asleep.
基本的にあなたの意見に賛成です。 	 Basically, I agree with your opinion.
スリには気を付けろ。 	 Be on your guard against pickpockets.
トムもメアリーもオーストラリア出身です。 	 Both Tom and Mary are from Australia.
トムとメアリーの両方とも、一人親です。 	 Both Tom and Mary are single parents.
私の助けが必要ならいつでも電話してください。 	 Call me up whenever you need my help.
何か書くもの貸してもらえる？ 	 Can I borrow something to write with?
この箱を２階へ運んでもらえますか。 	 Can I have this box carried upstairs?
こういった星はオーストラリアでは見えるのですか。 	 Can these stars be seen in Australia?
明日は会議に来れますか。 	 Can you come to the meeting tomorrow?
私のお買い物した荷物持ってくれる？ 	 Can you hold my shopping bags for me?
どのコートがあなたのか、確認してもらえますか。 	 Can you identify which coat is yours?
新聞を取って頂けませんか? 	 Can you please pass me the newspaper?
この駐車券に判を押して下さい。 	 Can you validate this parking ticket?
せめてあと十分待ってくれませんか。 	 Can't you wait just ten more minutes?
子供は毎日牛乳を飲むべきだ。 	 Children should drink milk every day.
中国はアジアで最も広大な国である。 	 China is the largest country in Asia.
クリスマスはほんの２週間先です。 	 Christmas is just two weeks from now.
クラシック音楽は僕の好みじゃない。 	 Classical music is not my cup of tea.
適当に入って勝手にやって。 	 Come on in and make yourself at home.
コーヒーをもう一杯いただけますか。 	 Could I have one more coffee, please?
この１０ドル札をくずしてもらえませんか。 	 Could you break this ten dollar bill?
もう少し待ってください。 	 Could you give me a few more minutes?
この問題を解くのを手伝っていただけませんか？ 	 Could you help me solve this problem?
コショウを取ってもらえませんか。 	 Could you pass me the pepper, please?
Wi-Fiのパスワードを教えていただけますか？ 	 Could you tell me the Wi-Fi password?
キュウリはスイカの親戚だ。 	 Cucumbers are related to watermelons.
同僚を騙すのは良くないよ。 	 Deceiving your colleagues isn't good.
ここまで電車できたの？それともバス？ 	 Did you come here by train or by bus?
昨日はよく眠れましたか？ 	 Did you have a good night last night?
トムが辞めるって聞いた？ 	 Did you hear about Tom's resignation?
彼がマンションを買ったのはご存じですか。 	 Did you know he bought a condominium?
今朝の虹みた？ 	 Did you see the rainbow this morning?
トムがスポーツカー持ってること知らなかったの？ 	 Didn't you know Tom had a sports car?
あの店でノートは売っていますか？ 	 Do they sell notebooks at that store?
イエローページに広告を記載してる？ 	 Do you advertise in the Yellow Pages?
日本に帰る航空券はお持ちですか？ 	 Do you have a return ticket to Japan?
明日の夜って、予定がある？ 	 Do you have plans for tomorrow night?
彼女が英語を話せるかどうか知っていますか。 	 Do you know if she can speak English?
この文どういう意味か分かる？ 	 Do you know what this sentence means?
緑茶と紅茶、どっちが好き？ 	 Do you prefer green tea or black tea?
本当にトムが家にいるって思ってるの？ 	 Do you really think that Tom is home?
彼は父親に似ていると思いますか。 	 Do you think he resembles his father?
明日蒸し暑くなると思う？ 	 Do you think it'll be muggy tomorrow?
テレビを見る前に宿題をしなさい。 	 Do your homework before you watch TV.
この車って、レギュラー？ハイオク？ 	 Does this car use regular or premium?
寝る前にビール飲まないでよ。 	 Don't drink beer before going to bed.
そこで突っ立ってないで何かやって！ 	 Don't just stand there. Do something.
トムにそれらの写真を見せないで。 	 Don't let Tom look at these pictures.
他人のことに首を突っ込むな。 	 Don't pry into the affairs of others.
そんなにドタドタと階段を駆け下りないの。 	 Don't run down the stairs so noisily.
一度に２つのことをしようとするな。 	 Don't try to do two things at a time.
１度に２つの事をしようと思うな。 	 Don't try to do two things at a time.
暇なやつだ。 	 Don't you have anything better to do?
それが何を意味するのか知りたくないの？ 	 Don't you want to know what it means?
英語は世界共通語のようなものだ。 	 English is like a universal language.
メアリーが嘘ついたことに、トムでさえびっくりしてるよ。 	 Even Tom is surprised that Mary lied.
彼女、すっぴんでも超かわいいんだぜ。 	 Even without makeup, she's very cute.
トムのフランス語が上手いことは、誰もが知っていた。 	 Everyone knew Tom was good at French.
あの頃は何もかもがもっと単純だった。 	 Everything was simpler in those days.
すみませんが、電話を使ってもよろしいですか。 	 Excuse me, but might I use the phone?
致命的な誤りは不注意から起こる。 	 Fatal errors arise from carelessness.
落ちはしないかという恐怖で彼は立ちすくんだ。 	 Fear of falling caused him to freeze.
無料の忠告はいつでも良いとは限りません。 	 Free advice isn't always good advice.
フランス語って、難しいなぁって思わない？ 	 French is difficult, don't you think?
神は天と地を創造した。 	 God created the heaven and the earth.
２人とも、もうお昼ご飯は食べた？ 	 Have both of you already eaten lunch?
犬に襲われたことある？ 	 Have you ever been attacked by a dog?
東京ドームへ行ったことがありますか？ 	 Have you ever been to the Tokyo Dome?
胸の痛みを感じたことはありますか？ 	 Have you ever experienced chest pain?
トムがフランス語しゃべるの聞いたことある？ 	 Have you ever heard Tom speak French?
彼氏に嘘ついたことある？ 	 Have you ever lied to your boyfriend?
トムが怒ってるの見たことある？ 	 Have you ever seen Tom when he's mad?
最近、腹痛はありましたか？ 	 Have you had abdominal pain recently?
彼は嘘をついたと彼女を非難した。 	 He accused her of having lied to him.
彼はうそをついたと彼女を責めた。 	 He accused her of having lied to him.
彼は息子の怠惰さを戒めた。 	 He admonished his son for being lazy.
彼は私に無礼をわびた。 	 He apologized to me for his rudeness.
彼はそのクラブへの入会を申し込んだ。 	 He applied for admission to the club.
彼は優勝者の名前を大声で叫んだ。 	 He called out the name of the winner.
彼は、英語だけでなくタイ語も話せます。 	 He can speak Thai as well as English.
彼は英語とフランス語のどちらも話せるんです。 	 He can speak both English and French.
彼は機械にコードをつないだ。 	 He connected the cord to the machine.
彼は具合が悪かったので来ることができなかった。 	 He couldn't come because he was sick.
彼は果物しか食べない。 	 He doesn't eat anything except fruit.
彼はソーセージを地面に落とした。 	 He dropped the sausage on the ground.
彼は私の三倍も稼いでいる。 	 He earns three times as much as I do.
彼はそれを電光石火の早さで仕上げた。 	 He finished it as quick as lightning.
彼は５年前にその学校を創立した。 	 He founded the school five years ago.
今朝は１時間早く起きた。 	 He got up an hour early this morning.
彼は当選の見込みが十分ある。 	 He has a good chance of being chosen.
彼は名前を覚えるのが下手だ。 	 He has a hard time remembering names.
彼はもう宿題をやってしまった。 	 He has already finished his homework.
彼が日本に来て３年になります。 	 He has been in Japan for three years.
彼には、そこに留まる彼なりの理由があるのだ。 	 He has his reasons for staying there.
彼はラテン語の勉強に夢中になっている。 	 He is absorbed in the study of Latin.
彼は自分の現状に満足している。 	 He is content with his present state.
彼は旅行の支度をしている。 	 He is making preparations for a trip.
彼は朝いつも忙しいわけではない。 	 He is not always busy in the morning.
彼はちょっとした切手収集家だ。 	 He is something of a stamp collector.
彼は自分の無作法に気づいていない。 	 He is unconscious of his bad manners.
彼は食べ物の好みがとてもうるさい。 	 He is very particular about his food.
彼は海外の事情に詳しい。 	 He knows a lot about foreign affairs.
彼は人生の多くを海外で過ごした。 	 He lived abroad for much of his life.
彼は大きな家に一人で住んでいます。 	 He lives in a large house by himself.
彼はまるで何事もなかったかのような顔をしていた。 	 He looked as if nothing had happened.
彼は１日に英単語を１０語覚えた。 	 He memorized ten English words a day.
彼はその夜、旅人を泊めた。 	 He put the traveler up for the night.
彼は警察を見て駆け出した。 	 He ran at the sight of the policeman.
時間どおりに着くために彼は走った。 	 He ran so he would get there on time.
彼は本を読破した。 	 He read the book from cover to cover.
彼は毎朝、新聞を読む。 	 He reads the newspaper every morning.
彼は毎朝駅まで走ります。 	 He runs to the station every morning.
彼は手紙をポケットにねじ込んだ。 	 He shoved the letter into his pocket.
彼は絵筆をカンバスにさっと走らせた。 	 He swept his brush across the canvas.
彼はその一節を英語に翻訳した。 	 He translated the verse into English.
彼はその町で職がみつかった。 	 He was able to get work in that town.
彼は恋人を連れていた。 	 He was accompanied by his girlfriend.
彼はイタリアの小さな町で生まれた。 	 He was born in a small town in Italy.
彼は列車事故でけがをした。 	 He was injured in a railway accident.
彼は鉄道事故で死んだ。 	 He was killed in a railroad accident.
彼はすぐに決心した。 	 He wasn't long in making up his mind.
彼はハンカチで手をふいた。 	 He wiped his hands on a handkerchief.
彼は気難しい人だ。 	 He's a difficult person to deal with.
彼は登山になれている。 	 He's accustomed to mountain climbing.
彼女の婚約者は、彼女にとても大きな指輪を贈った。 	 Her fiancé gave her a very big ring.
彼女の名は世界中で知られています。 	 Her name is known all over the world.
彼女の一番下の子は５歳だよ。 	 Her youngest child is five years old.
こちらがご依頼の書類です。 	 Here are the documents you asked for.
ねえトム、メアリーと付き合ってるってほんと？ 	 Hey, Tom, are you really dating Mary?
こんにちは！僕の名前はトム。君の名は？ 	 Hi, my name is Tom. What's your name?
その説明は満足いくものではなかった。 	 His explanation was not satisfactory.
彼の博識には驚く。 	 His extensive knowledge surprises me.
彼の家は地下鉄の駅近くにある。 	 His house is near the subway station.
彼の考え方は少し極端だ。 	 His way of thinking is a bit extreme.
シーズンオフはホテルは割安だ。 	 Hotels are cheaper in the off season.
近頃はいかがお過ごしでしょうか。 	 How are you getting along these days?
あちらの希少な本は、どのようにして入手したのですか？ 	 How did you come by those rare books?
彼の名前がトムではないことをなぜ知っていたのですか。 	 How did you know his name wasn't Tom?
彼の提案をどう思いますか。 	 How do you feel about his suggestion?
運動する時間をどうやって見つけるのですか。 	 How do you find the time to exercise?
ここからそのホテルまでどのくらいの距離ですか。 	 How far is it from here to the hotel?
どれくらいこの寒い天気は続きますか。 	 How long will this cold weather last?
あなたは１ヶ月に何冊の本を読みますか。 	 How many books do you read per month?
１年には季節がいくつありますか。 	 How many seasons are there in a year?
週に何回、外食するの？ 	 How many times a week do you eat out?
先週食べた飴はいくら？ 	 How much candy did you eat last week?
君はこの問題にどう片をつける気かね。 	 How will you dispose of this problem?
ステーキの焼き具合はどうなさいますか。 	 How would you like your steak cooked?
人は食べ物なしでは生きていけない。 	 Human beings can't live without food.
急がないと電車に間に合わないよ。 	 Hurry up, or you will miss the train.
私は彼の妹さんからプレゼントを受け取った。 	 I accepted a present from his sister.
トムとメアリーの提案に賛成です。 	 I agree with Tom and Mary's proposal.
ひとりのときは彼のことばかり考えている。 	 I always think of him when I'm alone.
その損失について私は彼に責任を負わなくてはならない。 	 I am accountable to him for the loss.
私はその著者の名前を知っています。 	 I am familiar with the author's name.
私はこの辺の地理に明るい。 	 I am familiar with this neighborhood.
私は夏に北海道に行きます。 	 I am going to Hokkaido in the summer.
今ギターを習っています。 	 I am learning to play the guitar now.
彼が正しいというのが、私の意見です。 	 I am of the opinion that he is right.
遠路はるばるお越しいただきありがとうございます。 	 I appreciate your coming all the way.
息子に何がほんとに欲しいのか聞いた。 	 I asked my son what he really wanted.
僕は息子に本当に欲しいものを聞いた。 	 I asked my son what he really wanted.
警察は君の事を無視すると思うよ。 	 I believe the police will ignore you.
私は市立図書館で本を借りています。 	 I borrow books from the city library.
３０ドルでカメラを買ったんだ。 	 I bought a camera for thirty dollars.
あなたと同じカメラを買った。 	 I bought the same camera as you have.
私は自分自身でこの犬小屋を作った。 	 I built this dog house all by myself.
学校まで三十分で歩いて行けます。 	 I can walk to school in half an hour.
その点では君に賛成できない。 	 I can't agree with you on that point.
トムがメアリーにそんなことしたなんて、信じられないわ。 	 I can't believe Tom did that to Mary.
私はコンピューターなしでは仕事ができない。 	 I can't do my job without a computer.
こんなにたくさんの料理、僕一人では食べきれないよ。 	 I can't eat that much food by myself.
この暑さでは上着を着ていられない。 	 I can't keep my coat on in this heat.
私はこの暑い気候に耐えられない。 	 I can't put up with this hot weather.
その双子は見分けられないな。 	 I can't tell one twin from the other.
私は彼女を正直な女性だと思う。 	 I consider her to be an honest woman.
私は彼の言う事が全然わからなかった。 	 I could make nothing of what he said.
若い頃、わたしはもっと速く泳げた。 	 I could swim faster when I was young.
子供の時は上手く泳げた。 	 I could swim well when I was a child.
昨日は切符が取れなかったんだよ。 	 I couldn't get the tickets yesterday.
私は彼の誕生日パーティーに行けなかった。 	 I couldn't go to your birthday party.
暑くて眠れなかったんだ。 	 I couldn't sleep because of the heat.
この歌を聴くたびに私は泣いてしまう。 	 I cry whenever I listen to this song.
私は昨年日本に来る決心をした。 	 I decided to come to Japan last year.
私は彼女がどんな服装をしているのか気づかなかった。 	 I did not notice how she was dressed.
今朝はご飯を食べてこなかったんだ。 	 I didn't have breakfast this morning.
トムがこんなに料理が上手いなんて知らなかったよ。 	 I didn't know Tom could cook so well.
トムがフランス語話せるとは知らなかったよ。 	 I didn't know Tom could speak French.
彼が言ったことはよくわからなかった。 	 I didn't quite make out what he said.
今日はとても素晴らしい場所を発見しました。 	 I discovered a very nice place today.
私はこの点であなたと意見が合わない。 	 I don't agree with you on this point.
私は母ほど早く起きません。 	 I don't get up as early as my mother.
そういう類いのことは好きじゃない。 	 I don't go in for that sort of thing.
私はあなたにあげるものが何もない。 	 I don't have anything to give to you.
彼の過去については何も知りません。 	 I don't know anything about his past.
フランス語でどう言うのか分からないよ。 	 I don't know how to say it in French.
御礼の申しようもありません。 	 I don't know how to thank you enough.
十分にお金があるかわかりません。 	 I don't know if we have enough money.
もう何を信じればいいのか分からない。 	 I don't know what to believe anymore.
骨がたくさんある魚は嫌いだ。 	 I don't like fish with lots of bones.
私に対する彼の話し方が気に入らない。 	 I don't like the way he speaks to me.
僕はそんなに旅行好きではない。 	 I don't like traveling all that much.
あそこの店はあまり好きじゃない。 	 I don't really like the stores there.
トムが成功するとは思えないね。 	 I don't think Tom will be successful.
トムがこれを使うとは思えない。 	 I don't think Tom will be using this.
それはもう問題がないと思う。 	 I don't think it's a problem anymore.
彼女がその仕事に適しているとは思わない。 	 I don't think she is fit for the job.
全然変だと思わないんだけど。 	 I don't think that it's weird at all.
私がここにいることを、誰にも知られたくないんだよ。 	 I don't want anyone to know I'm here.
お前をゴタゴタに巻き込みたくないんだ。 	 I don't want to get you into trouble.
今朝僕は牛乳をコップ一杯飲んだ。 	 I drank a glass of milk this morning.
新しい高速道路の運転は楽しかったよ。 	 I enjoyed driving on the new highway.
トムが試験に合格するのを期待している。 	 I expect that Tom will pass the exam.
彼の誕生日会に行き損ねた。 	 I failed to go to his birthday party.
超気持ち悪い。戻しそう。 	 I feel very sick. I want to throw up.
電話番号教えるの忘れてたよ。 	 I forgot to give you my phone number.
やってみたら簡単でした。 	 I found it easy when I gave it a try.
魚の骨がのどにひっかかりました。 	 I got a fish bone stuck in my throat.
電車の扉に足を挟まれたんだよ。 	 I got my foot caught in a train door.
私はそのドレスを買うのに十分なお金を持っていた。 	 I had enough money to buy that dress.
それ以前にも何度か彼女に会ったことがあった。 	 I had met her many times before then.
お兄ちゃんに自転車を直してもらったんだ。 	 I had my bicycle fixed by my brother.
私はスーツケースを部屋に運んでもらった。 	 I had my suitcase carried to my room.
ここまで見事だとは思いもしなかったよ。 	 I had no idea it'd be this beautiful.
私は自由に使えるお金がたくさんある。 	 I have a lot of money at my disposal.
ボストンまでの往復チケットを持ってます。 	 I have a round trip ticket to Boston.
3歳になったばかりの息子がいます。 	 I have a son who's just turned three.
彼の冗談にはいい加減、食傷しました。 	 I have had quite enough of his jokes.
私にはしなければならない事がたくさんある。 	 I have lots of affairs to look after.
私は彼が英語を話すのを聞いたことがない。 	 I have never heard him speak English.
赤い冷蔵庫を見たことがない。 	 I have never seen a red refrigerator.
今は特に言うことはないよ。 	 I have nothing particular to say now.
左手にしびれがあります。 	 I have some numbness in my left hand.
何年もトムと会ってない。 	 I haven't seen Tom for several years.
しばらくトムとは話してないなあ。 	 I haven't spoken with Tom in a while.
トムが授業中にいびきを掻いているのが聞こえました。 	 I heard Tom snoring during the class.
私は母が台所を掃除するのを手伝った。 	 I helped my mother clean the kitchen.
明日雨降らないといいな。 	 I hope that it doesn't rain tomorrow.
まだパンが残ってるといいんだけど。 	 I hope there's still some bread left.
さっき食堂でトムに会ったよ。 	 I just ran into Tom in the cafeteria.
ちょうど、キツネが道路を横切るのが見えたんだ。 	 I just saw a fox run across the road.
トムが大学の教授だって、知ってるよ。 	 I know Tom is a university professor.
まだ早いのは分かっているけど、家に帰ろう。 	 I know it's early, but let's go home.
私は委員会の議長を知っている。 	 I know the chairman of the committee.
笑いすぎて死ぬかと思った。 	 I laughed so much, I thought I'd die.
私は年齢の事で彼女に嘘をつきました。 	 I lied to my girlfriend about my age.
君のダンスを見られることを楽しみにしているよ。 	 I look forward to watching you dance.
私は屋根に当たる雨の音が好きだ。 	 I love the sound of rain on the roof.
僕はテストでひどい間違いをした。 	 I made a serious mistake on the test.
大学では建築学を専攻してたよ。 	 I majored in architecture in college.
私はその困難に打ち勝つことができた。 	 I managed to overcome the difficulty.
トムという名の若い男に会ったよ。 	 I met a young man whose name was Tom.
去年の冬、彼女に出会った。 	 I met her in the winter of last year.
３０秒差で電車に間に合わなかったんだ。 	 I missed the train by thirty seconds.
歯医者に行くの、延期しないといけないな。 	 I must postpone going to the dentist.
君と同じくらいしたことがない。 	 I never did that as often as you did.
私はその講義に出席すべきであった。 	 I ought to have attended the lecture.
その本に２千円出したんだ。 	 I paid two thousand yen for the book.
メアリーに電話したけど話し中だった。 	 I phoned Mary, but the line was busy.
先週パーティーでメアリーに偶然会った。 	 I ran into Mary at a party last week.
私は少なくとも毎月１冊は本を読みます。 	 I read at least one book every month.
とても感謝しています。 	 I really appreciate what you've done.
私は彼女の姉をとても愛しています。 	 I really love her older sister a lot.
トムを結婚式に紹介したことを後悔してる。 	 I regret inviting Tom to our wedding.
彼の忠告を聞かなかったことを後悔してるよ。 	 I regret not having taken his advice.
その男の名前はよく覚えている。 	 I remember that man's name very well.
誰かがその商品を盗むのを見たんです。 	 I saw somebody steal the merchandise.
最近はあまり父に会わない。 	 I see little of my father these days.
徹夜するんじゃなかった。 	 I shouldn't have stayed up all night.
私はおじさんと電話で話した。 	 I spoke to my uncle on the telephone.
私は先週中国語を習い始めました。 	 I started learning Chinese last week.
私は新鮮な空気を吸おうと外に出た。 	 I stepped outside for some fresh air.
トムはメアリーのこと嫌いなんじゃないかな。 	 I suspect that Tom doesn't like Mary.
お華を習ってるの。 	 I take lessons in flower arrangement.
今日は早めに寝ようと思う。 	 I think I'll go to bed early tonight.
トムはフランス語がかなりうまいと思うよ。 	 I think Tom is pretty good at French.
お風呂入ってこようかな。 	 I think that I'll go and take a bath.
トムは猫アレルギーだと思う。 	 I think that Tom is allergic to cats.
トムなら玄関先にいると思うよ。 	 I think that Tom is out on the porch.
ここを早く離れた方がいいと思う。 	 I think that we'd better leave early.
禁煙したほうがいいと思います。 	 I think that you should stop smoking.
これでいいと思うけど、よく分かんない。 	 I think this is OK, but I'm not sure.
あなたは本当にいい人だと思うよ。 	 I think you are a really nice person.
そんな感じだと思っていました。 	 I thought it was something like that.
本当に気味が悪いと思った。 	 I thought that that was really weird.
あなた、車の免許持ってるって思ってたよ。 	 I thought you had a driver's license.
あなたがちょっと驚くのではないかと思っていました。 	 I thought you'd be kind of surprised.
雨が降っていたのでタクシーに乗った。 	 I took a taxi because it was raining.
何とか生きてほしいと全力を尽くした。 	 I tried everything to keep him alive.
私は彼女が涙を流した思い出を忘れようと努めた。 	 I tried to forget that she had cried.
私は事業を息子に譲った。 	 I turned over the business to my son.
前はピザを食べていましたけど、今は全くですね。 	 I used to eat pizza, but now I don't.
高校時代はよくテニスをしたものです。 	 I used to play tennis in high school.
朝によく散歩してたんだ。 	 I used to take a walk in the morning.
私は週に２回、祖父母に会いに行く。 	 I visit my grandparents twice a week.
価格に関して話し合いたいのですが。 	 I want to discuss the price with you.
君と一緒に行きたいけれど文無しなんだ。 	 I want to go with you, but I'm broke.
私にギターを弾いて聞かせてよ。 	 I want you to play the guitar for me.
トムに卵を買ってきて欲しかったんだよ。 	 I wanted Tom to buy some eggs for me.
私は田舎で生まれ育ちました。 	 I was born and raised in the country.
車が故障したので遅れました。 	 I was late because my car broke down.
彼女の顔をまともに見ることが出来なかった。 	 I was unable to look her in the face.
彼の質問にひどく面食らってしまった。 	 I was very confused by his questions.
明日天気なら出かけます。 	 I will go out if it is fine tomorrow.
彼が帰ってくるまでここで待ちます。 	 I will wait here until he comes back.
ずっと子供のままでいたかったなぁ。 	 I wish I could've been a kid forever.
トムの言ってたことが全部嘘だったらいいのに。 	 I wish everything Tom said was a lie.
彼の投球を見せたかったよ。 	 I wish you could have seen him pitch.
どれくらいかかるのかしら。 	 I wonder how long it's going to take.
彼の身に何かあったのだろうか。 	 I wonder if anything happened to him.
これって本当に真実なのかしら？ 	 I wonder whether this is really true.
私はただ単に働くのが好きだから働くのである。 	 I work simply because I like to work.
昨日は一日中忙しく働いた。 	 I worked hard all day long yesterday.
水のお代わりを下さい。 	 I would like to have some more water.
私は一人では買い物に行きたくない。 	 I would rather not go shopping alone.
次への変更をご提案します。 	 I would suggest the following change.
わかっていたらあなたに知らせたのに。 	 I'd have let you know if I had known.
価格に関して話し合いたいのですが。 	 I'd like to discuss pricing with you.
紅茶かコーヒーをお願いします。 	 I'd like to drink some tea or coffee.
あなたと一緒に行きたいけど、行けない。 	 I'd like to go with you, but I can't.
ケチャップは別で持ってきてください。 	 I'd like to have ketchup on the side.
予約の確認をしたいのですが。 	 I'd like to reconfirm my reservation.
できるだけ長くいたいです。 	 I'd like to stay as long as possible.
私の事務所でお話ししたいのですが。 	 I'd like to talk to you in my office.
私一人でこれをやってみたいのですが。 	 I'd like to try doing this by myself.
魚釣りに行くよりも家にいたい。 	 I'd rather stay home than go fishing.
私もめっちゃフランス語が習いたいの。 	 I'd really like to learn French, too.
２０分かそこらで戻ります。 	 I'll be back in twenty minutes or so.
サッカーの練習してから家に帰るよ。 	 I'll be home after football practice.
私は来月16歳になります。 	 I'll be sixteen years old next month.
できるだけ早く帰ります。 	 I'll come back home as soon as I can.
後であなたに全てを説明します。 	 I'll explain everything to you later.
家に着いたら君に電話するよ。 	 I'll give you a call when I get home.
この切手のどちらでもあげよう。 	 I'll give you either of these stamps.
お昼ご飯食べたら戻ってくるから。 	 I'll go eat lunch and then come back.
カメラを修理に出さないといけない。 	 I'll have to have my camera repaired.
トムが私にしたこと、絶対に忘れない。 	 I'll never forget what Tom did to me.
今、誰か係りの者を差し向けます。 	 I'll send someone up to help you now.
私は目覚ましを7時にセットします。 	 I'll set the alarm for seven o'clock.
今夜あなたの子どもの世話をしましょう。 	 I'll take care of your child tonight.
大丈夫だよ。最近、忙しいだけだよ。 	 I'm OK. I've just been busy recently.
今、最後の仕上げをするところです。 	 I'm adding the finishing touches now.
このデータは信用できないと思う。 	 I'm afraid this data is not reliable.
番号をお間違えです。 	 I'm afraid you have the wrong number.
番号をお間違えのようですが。 	 I'm afraid you have the wrong number.
私はいつも人の名前を忘れてばかりいる。 	 I'm always forgetting people's names.
オーストラリアに行けると思うと、ウキウキしちゃう。 	 I'm excited about going to Australia.
君が無事に戻ってきてよかった。 	 I'm glad that you've returned safely.
明日ね、オーストラリアに帰るよ。 	 I'm going back to Australia tomorrow.
奨学金を申し込むつもりだよ。 	 I'm going to apply for a scholarship.
自分のバイクを買うつもりだよ。 	 I'm going to buy myself a motorcycle.
着替えてきます。 	 I'm going to change and I'll be back.
明日ピクニックに行くつもりだ。 	 I'm going to go on a picnic tomorrow.
この推理小説は今真ん中あたりを読んでいる。 	 I'm halfway through this crime novel.
私は書籍売り場を担当している。 	 I'm in charge of the book department.
フランス語でポッドキャストを聴いてるんだ。 	 I'm listening to a podcast in French.
僕はフランス語をしゃべることにより関心がある。 	 I'm more interested in spoken French.
私は中学生ではありません。 	 I'm not a junior high school student.
私はこういった種類のことは苦手です。 	 I'm not good with this sort of thing.
パーティーに行く気分じゃないんだ。 	 I'm not in the mood to go to a party.
トムの話に興味がない。 	 I'm not interested in talking to Tom.
私は近所の人と仲が良い。 	 I'm on good terms with the neighbors.
最近のテレビ番組のことは知らないんだ。 	 I'm really not up on recent TV shows.
いつも迷惑かけてごめんなさい。 	 I'm sorry to always be bothering you.
悪いけどほかに用事があるの。 	 I'm sorry, I have another engagement.
ごめんなさい、でもよく聞こえないんです。 	 I'm sorry, but I can't hear you well.
ごめん。１０分ほど遅れるわ。 	 I'm sorry. I will be 10 minutes late.
彼は私を姉と間違えたに違いない。 	 I'm sure he mistook me for my sister.
そのチケットのお代を支払ったのは私です。 	 I'm the one who paid for that ticket.
私は末っ子です。 	 I'm the youngest child in the family.
私は夜遅くまで起きているのに慣れている。 	 I'm used to staying up late at night.
